# Demo: Ni 2p3/2 of partially oxidized Ni foam (synthetic)
# Instrument: synthetic Al Kalpha, pass 20 eV
# BE(eV)	counts
848.00	5313.6
848.05	5345.3
848.10	5337.7
848.15	5326.9
848.20	5361.3
848.25	5352.1
848.30	5412.2
848.35	5481.8
848.40	5413.3
848.45	5419.6
848.50	5480.4
848.55	5485.8
848.60	5485.7
848.65	5450.4
848.70	5501.1
848.75	5543.9
848.80	5463.5
848.85	5513.5
848.90	5459.4
848.95	5497.3
849.00	5483.1
849.05	5565.8
849.10	5530.4
849.15	5610.5
849.20	5616.7
849.25	5612.8
849.30	5519.8
849.35	5621.0
849.40	5655.6
849.45	5675.8
849.50	5614.7
849.55	5676.0
849.60	5667.5
849.65	5689.8
849.70	5790.0
849.75	5720.8
849.80	5772.5
849.85	5831.5
849.90	5782.2
849.95	5822.3
850.00	5851.8
850.05	5869.9
850.10	5831.6
850.15	5913.6
850.20	5996.1
850.25	5885.9
850.30	6022.8
850.35	6015.1
850.40	6007.7
850.45	6160.6
850.50	6134.1
850.55	6074.9
850.60	6169.6
850.65	6230.2
850.70	6233.1
850.75	6316.1
850.80	6324.7
850.85	6407.0
850.90	6494.8
850.95	6447.1
851.00	6548.0
851.05	6578.8
851.10	6676.4
851.15	6687.0
851.20	6799.8
851.25	6911.1
851.30	7069.7
851.35	7199.8
851.40	7207.8
851.45	7388.7
851.50	7642.7
851.55	7712.2
851.60	8038.4
851.65	8347.1
851.70	8763.4
851.75	9133.9
851.80	9546.8
851.85	10095.6
851.90	10744.7
851.95	11601.2
852.00	12326.8
852.05	13303.8
852.10	14442.4
852.15	15625.7
852.20	16962.0
852.25	18348.8
852.30	20009.6
852.35	21633.9
852.40	23509.6
852.45	25228.7
852.50	26923.2
852.55	28702.6
852.60	30211.8
852.65	31830.9
852.70	33009.9
852.75	34160.3
852.80	34813.3
852.85	35632.9
852.90	35816.2
852.95	35984.0
853.00	36202.5
853.05	35991.7
853.10	35830.7
853.15	35669.0
853.20	34835.1
853.25	34303.0
853.30	33789.4
853.35	33181.5
853.40	32449.3
853.45	31776.7
853.50	31200.2
853.55	30508.8
853.60	29680.0
853.65	29117.3
853.70	28473.9
853.75	27717.1
853.80	27209.2
853.85	26470.8
853.90	26032.5
853.95	25356.3
854.00	24764.5
854.05	24141.0
854.10	23650.4
854.15	22972.3
854.20	22576.5
854.25	22268.2
854.30	21638.9
854.35	21530.1
854.40	20968.6
854.45	20889.0
854.50	20490.7
854.55	20406.9
854.60	20164.0
854.65	19869.3
854.70	19984.6
854.75	19909.9
854.80	19719.5
854.85	19663.6
854.90	19656.4
854.95	19589.3
855.00	19780.2
855.05	19669.8
855.10	19746.8
855.15	19723.8
855.20	19778.3
855.25	19760.9
855.30	20007.2
855.35	19911.0
855.40	20017.8
855.45	19935.6
855.50	19858.9
855.55	19856.6
855.60	19785.9
855.65	19764.6
855.70	19644.7
855.75	19545.1
855.80	19331.0
855.85	19238.1
855.90	19285.4
855.95	18920.2
856.00	18702.9
856.05	18618.5
856.10	18495.7
856.15	18044.4
856.20	17917.9
856.25	17650.3
856.30	17322.1
856.35	17276.8
856.40	16972.1
856.45	16733.3
856.50	16423.9
856.55	16272.1
856.60	15954.4
856.65	15746.0
856.70	15439.9
856.75	15203.8
856.80	15169.8
856.85	14818.5
856.90	14668.4
856.95	14444.4
857.00	14223.2
857.05	14035.4
857.10	13942.0
857.15	13711.5
857.20	13566.8
857.25	13433.3
857.30	13377.1
857.35	13216.2
857.40	13078.7
857.45	12906.7
857.50	12753.2
857.55	12822.6
857.60	12743.7
857.65	12597.7
857.70	12580.8
857.75	12542.1
857.80	12498.6
857.85	12465.4
857.90	12341.6
857.95	12448.1
858.00	12245.8
858.05	12374.3
858.10	12344.0
858.15	12369.3
858.20	12441.7
858.25	12426.2
858.30	12266.6
858.35	12250.6
858.40	12442.6
858.45	12349.1
858.50	12449.1
858.55	12542.9
858.60	12416.5
858.65	12428.6
858.70	12634.8
858.75	12670.2
858.80	12703.2
858.85	12777.7
858.90	12774.3
858.95	12789.8
859.00	12943.7
859.05	12952.9
859.10	12972.7
859.15	13188.2
859.20	13218.6
859.25	13321.8
859.30	13297.1
859.35	13393.2
859.40	13443.5
859.45	13526.3
859.50	13677.7
859.55	13685.1
859.60	13841.8
859.65	13917.4
859.70	14113.8
859.75	13947.6
859.80	14186.2
859.85	14192.2
859.90	14272.5
859.95	14243.4
860.00	14387.4
860.05	14546.0
860.10	14556.6
860.15	14637.0
860.20	14676.6
860.25	14846.6
860.30	14823.2
860.35	14723.7
860.40	14891.3
860.45	14851.8
860.50	14808.6
860.55	15057.1
860.60	15239.6
860.65	15186.0
860.70	15133.6
860.75	15184.7
860.80	15368.4
860.85	15322.4
860.90	15336.4
860.95	15346.9
861.00	15367.5
861.05	15434.2
861.10	15420.9
861.15	15397.1
861.20	15300.6
861.25	15409.2
861.30	15309.2
861.35	15426.4
861.40	15231.9
861.45	15293.5
861.50	15276.9
861.55	15149.6
861.60	15342.2
861.65	15286.5
861.70	15105.0
861.75	15154.0
861.80	15080.2
861.85	14812.9
861.90	14973.7
861.95	14899.1
862.00	14855.8
862.05	14715.5
862.10	14717.2
862.15	14665.1
862.20	14704.2
862.25	14581.0
862.30	14494.3
862.35	14541.9
862.40	14328.1
862.45	14275.9
862.50	14109.3
862.55	14286.6
