Kinetic Energy (eV)   Counts
1404.65   4281.4
1404.70   4243.9
1404.75   4173.0
1404.80   4282.4
1404.85   4300.5
1404.90   4253.4
1404.95   4321.4
1405.00   4216.5
1405.05   4310.2
1405.10   4278.5
1405.15   4314.8
1405.20   4290.2
1405.25   4248.3
1405.30   4295.1
1405.35   4219.2
1405.40   4350.4
1405.45   4287.0
1405.50   4268.6
1405.55   4297.5
1405.60   4295.2
1405.65   4285.3
1405.70   4290.4
1405.75   4335.2
1405.80   4364.5
1405.85   4321.5
1405.90   4348.3
1405.95   4268.0
1406.00   4365.5
1406.05   4247.7
1406.10   4259.5
1406.15   4249.0
1406.20   4315.7
1406.25   4370.6
1406.30   4354.4
1406.35   4330.9
1406.40   4371.3
1406.45   4341.0
1406.50   4340.1
1406.55   4300.8
1406.60   4300.4
1406.65   4339.2
1406.70   4378.4
1406.75   4365.9
1406.80   4361.4
1406.85   4330.3
1406.90   4335.6
1406.95   4394.9
1407.00   4314.8
1407.05   4457.2
1407.10   4344.6
1407.15   4364.2
1407.20   4329.0
1407.25   4387.7
1407.30   4367.3
1407.35   4326.9
1407.40   4347.6
1407.45   4401.7
1407.50   4346.0
1407.55   4394.6
1407.60   4391.0
1407.65   4336.6
1407.70   4371.8
1407.75   4474.8
1407.80   4353.5
1407.85   4384.0
1407.90   4455.6
1407.95   4421.1
1408.00   4379.2
1408.05   4405.8
1408.10   4402.8
1408.15   4337.6
1408.20   4455.7
1408.25   4491.2
1408.30   4492.8
1408.35   4471.9
1408.40   4497.6
1408.45   4537.2
1408.50   4450.8
1408.55   4483.0
1408.60   4544.4
1408.65   4503.3
1408.70   4543.5
1408.75   4538.7
1408.80   4496.5
1408.85   4601.4
1408.90   4647.9
1408.95   4660.8
1409.00   4684.4
1409.05   4708.6
1409.10   4714.9
1409.15   4732.6
1409.20   4743.3
1409.25   4770.4
1409.30   4830.1
1409.35   4950.6
1409.40   4984.4
1409.45   4958.5
1409.50   5107.1
1409.55   5236.4
1409.60   5219.6
1409.65   5308.8
1409.70   5445.8
1409.75   5538.0
1409.80   5735.5
1409.85   5959.8
1409.90   6060.0
1409.95   6182.8
1410.00   6386.2
1410.05   6508.2
1410.10   6729.3
1410.15   6932.2
1410.20   7190.5
1410.25   7395.4
1410.30   7562.0
1410.35   7731.9
1410.40   7902.7
1410.45   8193.0
1410.50   8399.7
1410.55   8654.5
1410.60   8777.8
1410.65   9113.0
1410.70   9267.1
1410.75   9482.8
1410.80   9793.8
1410.85   10010.3
1410.90   10259.0
1410.95   10510.4
1411.00   10714.1
1411.05   11123.3
1411.10   11464.7
1411.15   11834.4
1411.20   12221.2
1411.25   12681.3
1411.30   13254.2
1411.35   13698.4
1411.40   14428.5
1411.45   15067.8
1411.50   15717.7
1411.55   16322.5
1411.60   17010.2
1411.65   17687.0
1411.70   18226.8
1411.75   18591.8
1411.80   19333.5
1411.85   19416.6
1411.90   19539.2
1411.95   19696.8
1412.00   19526.5
1412.05   19303.2
1412.10   18778.2
1412.15   18102.4
1412.20   17274.8
1412.25   16477.5
1412.30   15564.6
1412.35   14474.9
1412.40   13444.3
1412.45   12547.9
1412.50   11664.8
1412.55   10920.8
1412.60   10116.9
1412.65   9399.3
1412.70   8806.5
1412.75   8257.6
1412.80   8004.0
1412.85   7539.8
1412.90   7262.6
1412.95   7018.5
1413.00   6932.9
1413.05   6798.9
1413.10   6793.5
1413.15   6872.3
1413.20   6917.2
1413.25   6999.6
1413.30   7182.1
1413.35   7392.7
1413.40   7496.0
1413.45   7635.6
1413.50   7863.3
1413.55   8167.2
1413.60   8265.9
1413.65   8478.3
1413.70   8839.9
1413.75   9118.6
1413.80   9312.1
1413.85   9453.0
1413.90   9783.2
1413.95   9945.0
1414.00   10289.9
1414.05   10666.9
1414.10   10816.8
1414.15   11148.6
1414.20   11389.0
1414.25   11718.2
1414.30   12048.6
1414.35   12485.8
1414.40   13004.2
1414.45   13316.6
1414.50   13979.2
1414.55   14494.3
1414.60   15157.0
1414.65   15878.4
1414.70   16662.4
1414.75   17482.2
1414.80   18314.7
1414.85   19235.4
1414.90   20000.3
1414.95   20785.9
1415.00   21662.4
1415.05   22289.9
1415.10   22986.1
1415.15   23484.4
1415.20   23920.7
1415.25   23939.1
1415.30   23894.4
1415.35   23558.4
1415.40   23049.8
1415.45   22324.1
1415.50   21406.5
1415.55   20418.2
1415.60   18971.9
1415.65   17496.9
1415.70   16425.6
1415.75   15043.8
1415.80   13535.0
1415.85   12362.1
1415.90   11231.4
1415.95   10081.8
1416.00   9110.6
1416.05   8321.9
1416.10   7565.8
1416.15   6869.5
1416.20   6341.7
1416.25   5762.2
1416.30   5502.7
1416.35   5099.3
1416.40   4831.1
1416.45   4584.8
1416.50   4366.6
1416.55   4195.2
1416.60   4020.0
1416.65   3850.1
1416.70   3891.2
1416.75   3687.7
1416.80   3664.0
1416.85   3564.4
1416.90   3510.3
1416.95   3522.4
1417.00   3461.7
1417.05   3345.0
1417.10   3383.7
1417.15   3368.6
1417.20   3284.6
1417.25   3213.1
1417.30   3228.8
1417.35   3098.8
1417.40   3123.3
1417.45   3069.3
1417.50   3059.8
1417.55   3062.0
1417.60   3081.7
1417.65   3062.1
1417.70   2991.1
1417.75   2968.9
1417.80   3011.7
1417.85   2949.4
1417.90   2918.8
1417.95   2896.6
1418.00   2955.9
